image_url,Cluster,Sentiment
https://media.rtm.com/thegreatexchange/large/94e03778-a448-4a9c-aa26-457cf33417b2.jpeg,8,Negative
https://media.rtm.com/thegreatexchange/large/647decfc-35b8-47c7-aa5b-1043618f02e6.jpeg,44,Neutral
https://media.rtm.com/thegreatexchange/large/d93b9608-117c-43fc-8c16-160d22426401.jpeg,94,Positive
https://media.rtm.com/thegreatexchange/large/c6277288-6cc9-4526-ae81-3372b6a3cd22.jpeg,18,Positive
https://media.rtm.com/thegreatexchange/large/070045e8-f39c-4f68-9756-3a369c7d21d9.jpeg,35,Positive
https://media.rtm.com/thegreatexchange/large/933a73b6-58af-4dc3-998a-552404a9222c.jpeg,50,Positive
https://media.rtm.com/thegreatexchange/large/8b78eb9e-7645-40ba-92c7-6d94776c8e14.jpeg,80,Positive
https://media.rtm.com/thegreatexchange/large/65542881-4caf-4a58-834a-ad919865077d.jpeg,6,Positive
https://media.rtm.com/thegreatexchange/large/56b16256-5cfe-4aa7-8f53-e1a318a97b86.jpeg,97,Positive
https://media.rtm.com/thegreatexchange/large/c66a64eb-cc82-4461-8759-61aec746469c.jpeg,86,Positive
https://media.rtm.com/thegreatexchange/large/bd1ae12f-bf92-4be5-bac4-c39a010432ce.jpeg,80,Positive
https://media.rtm.com/thegreatexchange/large/57de0563-cabb-432f-9554-2abb86e5782b.jpeg,19,Negative
https://media.rtm.com/thegreatexchange/large/81b83883-b017-43e8-b149-410b2c1d9e60.jpeg,71,Positive
https://media.rtm.com/thegreatexchange/large/fc2d1ace-82dd-405a-b018-d81d86187c14.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/e6ee1a06-bb03-47b3-8021-9cde7f0379b0.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/fd01c9d0-b89a-4571-9b4f-0cf061127301.jpeg,21,Negative
https://media.rtm.com/thegreatexchange/large/4396dc64-98fc-4b7a-ba07-4d61d44c3183.jpeg,73,Positive
https://media.rtm.com/thegreatexchange/large/f267c769-0428-48ec-9544-1f9972805641.jpeg,98,Positive
https://media.rtm.com/thegreatexchange/large/5a5e16e5-c30f-46e7-b969-ce4d7d521fbc.jpeg,19,Positive
https://media.rtm.com/thegreatexchange/large/0671180b-f05d-4e2e-a27d-eab1445adf81.jpeg,54,Negative
https://media.rtm.com/thegreatexchange/large/bd158eb0-9a11-431c-80f9-b7787514acf8.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/f83b57fc-48d2-4aaf-9953-0f6ffefc7c46.jpeg,14,Positive
https://media.rtm.com/thegreatexchange/large/15ab545b-9109-40af-8e7e-3a70143e9c02.jpeg,92,Positive
https://media.rtm.com/thegreatexchange/large/27ae5cf5-40c4-4cff-8383-43af4460326d.jpeg,21,Positive
https://media.rtm.com/thegreatexchange/large/00ae1d13-9c75-4ef5-96e2-01479d52cd00.jpeg,70,Negative
https://media.rtm.com/thegreatexchange/large/92b8fafe-2116-401d-b150-8224874de117.jpeg,83,Positive
https://media.rtm.com/thegreatexchange/large/7e9a5114-e2c3-4a0f-a61d-609603ad46df.jpeg,97,Neutral
https://media.rtm.com/thegreatexchange/large/4b24be9f-c19d-4cff-831e-8416ff143341.jpeg,25,Positive
https://media.rtm.com/thegreatexchange/large/f77a49e3-1709-41a6-b5cf-367f99e1a3e6.jpeg,54,Positive
https://media.rtm.com/thegreatexchange/large/c5b820b3-70a7-467d-981c-9437bc49c0d0.jpeg,4,Neutral
https://media.rtm.com/thegreatexchange/large/d77821d7-475f-4bcf-95b0-ab211ef40950.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/ae279c51-2028-4843-bc53-595b902c3b33.jpeg,2,Positive
https://media.rtm.com/thegreatexchange/large/9edbb62f-2b90-4ae9-a5fd-0b78ee53e563.jpeg,31,Positive
https://media.rtm.com/thegreatexchange/large/aeb771ea-5c22-4e2e-9f4a-11429beb16a8.jpeg,75,Negative
https://media.rtm.com/thegreatexchange/large/3c1ef8e5-1b89-415e-8c72-0fbd2c02f017.jpeg,51,Positive
https://media.rtm.com/thegreatexchange/large/9b36f137-2c8f-4cb8-90fa-0c9980ec8633.jpeg,44,Negative
https://media.rtm.com/thegreatexchange/large/f80b9250-7dcf-4287-a04f-155881625b84.jpeg,98,Positive
https://media.rtm.com/thegreatexchange/large/2267b301-50ee-43f8-93ec-50e4b2297082.jpeg,80,Negative
https://media.rtm.com/thegreatexchange/large/11168dfe-f5d4-4a93-a4b4-6a5192e2881e.jpeg,58,Negative
https://media.rtm.com/thegreatexchange/large/7976a7c5-b9db-4d50-82e9-8c81451ac8be.jpeg,15,Positive
https://media.rtm.com/thegreatexchange/large/3b7a3ccf-91a6-436d-ad41-5ab57ee44a0f.jpeg,40,Positive
https://media.rtm.com/thegreatexchange/large/3f8563ab-f738-48ce-bbf9-a2ae30c7dd53.jpeg,3,Positive
https://media.rtm.com/thegreatexchange/large/a7a40b83-dd3b-4307-84a0-5577221982d9.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/3a07455f-5986-4724-8b3e-2389af39b867.jpeg,73,Positive
https://media.rtm.com/thegreatexchange/large/ba1169b8-238c-4b1c-a5c4-238a7f020f00.jpeg,4,Positive
https://media.rtm.com/thegreatexchange/large/5503486b-c589-4552-bac5-2cdb5ff62726.jpeg,55,Positive
https://media.rtm.com/thegreatexchange/large/7817aeea-eed4-44f2-b89c-f3f417f6f783.jpeg,99,Positive
https://media.rtm.com/thegreatexchange/large/fd8a6c34-7b6b-470a-bb6f-f27ed72d9660.jpeg,60,Negative
https://media.rtm.com/thegreatexchange/large/f5a4709b-1ced-4c98-b3f4-35bcb6cbc089.jpeg,50,Positive
https://media.rtm.com/thegreatexchange/large/622e66b9-ac15-47fd-8749-12a9d74ac285.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/01f0a641-a4ff-4367-9d95-f4407e4b79b0.jpeg,7,Positive
https://media.rtm.com/thegreatexchange/large/81169a44-cf03-4491-b9c3-3e418334b955.jpeg,84,Positive
https://media.rtm.com/thegreatexchange/large/8c7e53ff-89a8-4acf-856c-2ba6c7833914.jpeg,78,Positive
https://media.rtm.com/thegreatexchange/large/72409b2f-9a46-4252-b387-fd6c14bd8529.jpeg,3,Negative
https://media.rtm.com/thegreatexchange/large/506d069a-4eae-497c-b42b-50fa7c602d6a.jpeg,23,Positive
https://media.rtm.com/thegreatexchange/large/327b39f5-6879-449a-b3a7-6e3a93cb6902.jpeg,53,Negative
https://media.rtm.com/thegreatexchange/large/65e06938-aa64-46d2-9efd-747787dd7d13.jpeg,23,Negative
https://media.rtm.com/thegreatexchange/large/aee84544-e7a0-4a8b-a45d-5ab20ef81d92.jpeg,21,Positive
https://media.rtm.com/thegreatexchange/large/e88cba5c-30fe-4b6e-b821-b226b0a92a9e.jpeg,87,Negative
https://media.rtm.com/thegreatexchange/large/af65aaf3-78ab-458e-a48f-2cf011579671.jpeg,67,Negative
https://media.rtm.com/thegreatexchange/large/4d281a35-8ac1-41a4-a6cd-472574eeeb3b.jpeg,46,Neutral
https://media.rtm.com/thegreatexchange/large/fcaf0bed-184e-4d48-a97b-6b5b4c22a211.jpeg,96,Positive
https://media.rtm.com/thegreatexchange/large/03947b87-a222-4bc9-8480-436e0d218188.jpeg,6,Positive
https://media.rtm.com/thegreatexchange/large/f5a3947f-6a4c-485c-bd2e-925845325ee0.jpeg,6,Negative
https://media.rtm.com/thegreatexchange/large/546805ff-ea6e-4540-bec1-14185ad9fb8d.jpeg,59,Negative
https://media.rtm.com/thegreatexchange/large/beef280f-372d-40d1-979e-fad80a195c28.jpeg,47,Positive
https://media.rtm.com/thegreatexchange/large/85a60a3e-4139-473d-a55b-576e385e5002.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/ea0cd4d7-e7a6-4d56-aa39-881fb63a5803.jpeg,85,Positive
https://media.rtm.com/thegreatexchange/large/6b3e087f-1be2-431b-ace3-26d55ee5fa2f.jpeg,93,Positive
https://media.rtm.com/thegreatexchange/large/1373fc0f-505d-4535-bbfb-f8832a86d2d0.jpeg,81,Negative
https://media.rtm.com/thegreatexchange/large/b9237501-9844-40ce-81c4-f2fca66f6208.jpeg,54,Positive
https://media.rtm.com/thegreatexchange/large/544ed167-8110-43a9-9d9a-3c1b6f7dcb67.jpeg,25,Positive
https://media.rtm.com/thegreatexchange/large/c4dc2c69-208b-4af2-b689-2f29aa7b29a7.jpeg,60,Positive
https://media.rtm.com/thegreatexchange/large/8597799a-e65d-456f-b46e-375c851149d3.jpeg,61,Positive
https://media.rtm.com/thegreatexchange/large/5f404067-b189-4348-a9da-fc7f794cafb8.jpeg,0,Positive
https://media.rtm.com/thegreatexchange/large/211cad50-2882-4c27-9b3c-56c04d89ac10.jpeg,47,Positive
https://media.rtm.com/thegreatexchange/large/04406b2c-b0a1-4d31-a461-c125b8511987.jpeg,25,Positive
https://media.rtm.com/thegreatexchange/large/17b4006a-8c67-4136-8204-f97897bab074.jpeg,90,Positive
https://media.rtm.com/thegreatexchange/large/e9fda0b8-6581-4542-ab7f-592f91447bd4.jpeg,30,Positive
https://media.rtm.com/thegreatexchange/large/8c8fe283-83d9-430b-a637-555e5028a3d5.jpeg,40,Positive
https://media.rtm.com/thegreatexchange/large/9d795ada-72f4-4c23-a718-db19118b0480.jpeg,70,Positive
https://media.rtm.com/thegreatexchange/large/239b38ad-b017-497f-aca5-0538a2e0e074.jpeg,64,Negative
https://media.rtm.com/thegreatexchange/large/4d81b83d-05a2-49ed-92d1-4be05eb036a8.jpeg,66,Negative
https://media.rtm.com/thegreatexchange/large/f265f9d9-3323-4f16-9229-46522ee01468.jpeg,0,Negative
https://media.rtm.com/thegreatexchange/large/03225c66-d751-4fda-8b00-a7c789cdb45d.jpeg,97,Positive
https://media.rtm.com/thegreatexchange/large/abc9856d-1f63-458e-8300-f4ba60d4a4d9.jpeg,57,Positive
https://media.rtm.com/thegreatexchange/large/89f7561a-ff7a-4426-94ba-6a7d94d69285.jpeg,65,Positive
https://media.rtm.com/thegreatexchange/large/a726a5ea-b827-4733-ab1c-b6b2d05c997b.jpeg,45,Positive
https://media.rtm.com/thegreatexchange/large/daeb2930-f038-4ee7-8021-d1bfc52736ca.jpeg,27,Positive
https://media.rtm.com/thegreatexchange/large/7e538e69-0e10-4aea-9ded-5ba4462d9c26.jpeg,7,Positive
https://media.rtm.com/thegreatexchange/large/d5e5dafb-ea96-42d1-8857-e61527b83278.jpeg,33,Positive
https://media.rtm.com/thegreatexchange/large/7b76b2d5-31b8-482d-ab82-ecde661bc8ac.jpeg,66,Positive
https://media.rtm.com/thegreatexchange/large/22dab890-f0ef-47b6-8c9c-7c6b2d94c309.jpeg,60,Neutral
https://media.rtm.com/thegreatexchange/large/2777affe-f744-4d7d-a868-a08c4701e3fe.jpeg,9,Negative
https://media.rtm.com/thegreatexchange/large/2afb0fa6-bc5a-4e98-9b80-4d1a95a2945a.jpeg,11,Positive
https://media.rtm.com/thegreatexchange/large/137627ad-42e0-4b40-9f5d-45c4ac0dd7a5.jpeg,63,Negative
https://media.rtm.com/thegreatexchange/large/e89de560-3b45-4a4b-a764-ab35667ed8a7.jpeg,26,Positive
https://media.rtm.com/thegreatexchange/large/d98f9c60-22ff-48f7-ba09-510606f3ad26.jpeg,44,Negative
https://media.rtm.com/thegreatexchange/large/a7b9ff48-91b5-4234-b45b-7548a5bf1a17.jpeg,59,Neutral
https://media.rtm.com/thegreatexchange/large/351bec17-606e-4c08-817e-60ce34431fd0.jpeg,57,Negative
https://media.rtm.com/thegreatexchange/large/1c350f3b-e751-4ab3-ba87-295bb669d91b.jpeg,68,Positive
https://media.rtm.com/thegreatexchange/large/a471cb85-5592-48f1-bc5c-eb05d5593faa.jpeg,78,Neutral
https://media.rtm.com/thegreatexchange/large/f2d73887-6360-4602-8ab9-f8ce7525668c.jpeg,32,Negative
https://media.rtm.com/thegreatexchange/large/89b3a915-d3ba-452c-bb1d-1616d8312958.jpeg,79,Positive
https://media.rtm.com/thegreatexchange/large/a1fa7eb4-4efa-4b0b-8c6d-f3ac9d6dea2d.jpeg,43,Negative
https://media.rtm.com/thegreatexchange/large/44d1c34d-6d06-4af8-bf08-3fdf4ed80dc4.jpeg,91,Positive
https://media.rtm.com/thegreatexchange/large/f11e8ab8-e078-4199-aa94-3a44440dc62d.jpeg,65,Positive
